row  column  (images_28.edf Mn-K*images_28.edf Ar-K**2.3)
2  26  8.05110e+06
2  27  6.03256e+06
2  28  9.12042e+06
2  29  5.69965e+06
2  30  3.63367e+06
2  31  2.87613e+06
2  32  3.29698e+06
2  33  4.37996e+06
2  34  9.88872e+06
2  35  7.24644e+06
2  36  6.15360e+06
2  37  3.68649e+06
2  38  4.86618e+06
2  39  8.39085e+06
2  40  7.07590e+06
2  41  9.15364e+06
2  42  6.02333e+06
2  43  2.96367e+06
2  44  6.03300e+06
2  45  4.55278e+06
2  46  6.18445e+06
2  47  6.88405e+06
2  48  8.61883e+06
2  49  7.46916e+06
2  50  8.63010e+06
2  51  6.63873e+06
2  52  6.04936e+06
2  53  7.49404e+06
2  54  5.88698e+06
2  55  5.44069e+06
2  56  9.60828e+06
2  57  8.14041e+06
2  58  9.27808e+06
2  59  8.18093e+06
2  60  1.19052e+07
2  61  8.65987e+06
2  62  8.11737e+06
2  63  9.36332e+06
2  64  7.14354e+06
2  65  5.67074e+06
2  66  7.78040e+06
2  67  4.80033e+06
2  68  1.59956e+06
2  69  3.58208e+06
2  70  6.60572e+06
2  71  8.16865e+06
2  72  7.96745e+06
2  73  4.97714e+06
2  74  9.50709e+06
2  75  6.65120e+06
2  76  8.70791e+06
2  77  7.24969e+06
2  78  4.23482e+06
2  79  7.56787e+06
2  80  6.39949e+06
2  81  1.07156e+07
2  82  9.70882e+06
2  83  1.22619e+07
2  84  4.44403e+06
2  85  6.98030e+06
2  86  8.99318e+06
2  87  4.54400e+06
2  88  7.04028e+06
2  89  9.60010e+06
2  90  3.86569e+06
2  91  6.95680e+06
2  92  7.85667e+06
2  93  5.60077e+06
2  94  5.63810e+06
2  95  9.57938e+06
2  96  0
2  97  1.04168e+07
2  98  1.07982e+07
2  99  4.85767e+06
2  100  7.70008e+06
2  101  6.60370e+06
2  102  1.42664e+07
2  103  8.37145e+06
2  104  6.63974e+06
2  105  8.24780e+06
2  106  7.68999e+06
2  107  8.13267e+06
2  108  1.15023e+07
2  109  4.09306e+06
2  110  1.05763e+07
2  111  1.09823e+07
2  112  1.15921e+07
2  113  1.38060e+06
2  114  1.60352e+07
2  115  3.89856e+06
2  116  0
2  117  4.57079e+04
2  118  0
2  119  0
2  120  0
3  0  1.05692e+07
3  1  8.35041e+06
3  2  8.22254e+06
3  3  6.74522e+06
3  4  6.09815e+06
3  5  4.72490e+06
3  6  4.19446e+06
3  7  5.54820e+06
3  8  1.34377e+06
3  9  4.84343e+06
3  10  5.08590e+06
3  11  4.42949e+06
3  12  3.75457e+06
3  13  3.26419e+06
3  14  2.90170e+06
3  15  2.22217e+06
3  16  6.66990e+06
3  17  7.18777e+06
3  18  4.85156e+06
3  19  7.39036e+06
3  20  8.08069e+06
3  21  9.10587e+06
3  22  4.35889e+06
3  23  3.95545e+06
3  24  9.48682e+06
3  25  5.92739e+06
3  26  5.19737e+06
3  27  8.64611e+06
3  28  6.02628e+06
3  29  4.32100e+06
3  30  5.69916e+06
3  31  9.36002e+06
3  32  6.75971e+06
3  33  5.69959e+06
3  34  2.97531e+06
3  35  5.95067e+06
3  36  6.21848e+06
3  37  7.79551e+06
3  38  6.53628e+06
3  39  5.47320e+06
3  40  6.95458e+06
3  41  8.39969e+06
3  42  7.31178e+06
3  43  7.86893e+06
3  44  8.02191e+06
3  45  5.04436e+06
3  46  8.40846e+06
3  47  7.89228e+06
3  48  7.81857e+06
3  49  1.29887e+07
3  50  1.14848e+07
3  51  7.32250e+06
3  52  6.44137e+06
3  53  6.57646e+06
3  54  1.03110e+07
3  55  1.08040e+07
3  56  6.96108e+06
3  57  7.50563e+06
3  58  8.01709e+06
3  59  5.55994e+06
3  60  6.96960e+06
3  61  9.27768e+06
3  62  8.31119e+06
3  63  5.69114e+06
3  64  9.11228e+06
3  65  5.29292e+06
3  66  6.29875e+06
3  67  2.34828e+06
3  68  3.63548e+06
3  69  5.32193e+06
3  70  7.36019e+06
3  71  4.50933e+06
3  72  4.25102e+06
3  73  6.11152e+06
3  74  9.48188e+06
3  75  4.25423e+06
3  76  7.88351e+06
3  77  7.45027e+06
3  78  8.27125e+06
3  79  9.93870e+06
3  80  7.91105e+06
3  81  6.77612e+06
3  82  6.85265e+06
3  83  7.25877e+06
3  84  7.16251e+06
3  85  7.10880e+06
3  86  4.12885e+06
3  87  1.21227e+07
3  88  7.67869e+06
3  89  6.79577e+06
3  90  6.76866e+06
3  91  9.39043e+06
3  92  8.54534e+06
3  93  5.00515e+06
3  94  1.33245e+07
3  95  5.07972e+06
3  96  9.48216e+06
3  97  1.08046e+07
3  98  6.48697e+06
3  99  5.91405e+06
3  100  7.38377e+06
3  101  1.38845e+07
3  102  5.95651e+06
3  103  6.26783e+06
3  104  6.81463e+06
3  105  9.87167e+06
3  106  3.18997e+06
3  107  9.38138e+06
3  108  8.24876e+06
3  109  6.85246e+06
3  110  6.40332e+06
3  111  6.27983e+06
3  112  8.84226e+06
3  113  4.71377e+06
3  114  6.48965e+06
3  115  0
3  116  3.48576e+06
3  117  0
3  118  1.90141e+06
3  119  0
3  120  3.35102e+06
4  0  6.88018e+06
4  1  7.26175e+06
4  2  6.92136e+06
4  3  6.44483e+06
4  4  5.29213e+06
4  5  6.86161e+06
4  6  4.30953e+06
4  7  4.47683e+06
4  8  5.54141e+06
4  9  5.85429e+06
4  10  4.23918e+06
4  11  4.73563e+06
4  12  5.59868e+06
4  13  4.06127e+06
4  14  1.59402e+06
4  15  6.72469e+06
4  16  4.83193e+06
4  17  5.99007e+06
4  18  7.48697e+06
4  19  5.72442e+06
4  20  7.60414e+06
4  21  6.81841e+06
4  22  2.18055e+06
4  23  8.33311e+06
4  24  7.66791e+06
4  25  7.91044e+06
4  26  6.86096e+06
4  27  7.79057e+06
4  28  7.02898e+06
4  29  9.05068e+06
4  30  8.24923e+06
4  31  9.56731e+06
4  32  4.89611e+06
4  33  3.30933e+06
4  34  8.83988e+06
4  35  7.44726e+06
4  36  3.60211e+06
4  37  7.90145e+06
4  38  6.55505e+06
4  39  6.53169e+06
4  40  4.08468e+06
4  41  6.62199e+06
4  42  8.22290e+06
4  43  3.77015e+06
4  44  8.08241e+06
4  45  6.66349e+06
4  46  4.79248e+06
4  47  7.04553e+06
4  48  4.72740e+06
4  49  7.51339e+06
4  50  1.20139e+07
4  51  7.79280e+06
4  52  6.52627e+06
4  53  7.95150e+06
4  54  5.92404e+06
4  55  5.80311e+06
4  56  4.92924e+06
4  57  6.97584e+06
4  58  8.39970e+06
4  59  5.31538e+06
4  60  8.93912e+06
4  61  5.62992e+06
4  62  1.08858e+07
4  63  1.13415e+07
4  64  7.54264e+06
4  65  8.25105e+06
4  66  7.41813e+06
4  67  3.59307e+06
4  68  0
4  69  3.59988e+06
4  70  9.32295e+06
4  71  7.17133e+06
4  72  8.34396e+06
4  73  7.24364e+06
4  74  8.83478e+06
4  75  9.90514e+06
4  76  1.03034e+07
4  77  8.17870e+06
4  78  7.05046e+06
4  79  4.13167e+06
4  80  9.26764e+06
4  81  8.19035e+06
4  82  1.62277e+06
4  83  8.64229e+06
4  84  7.28493e+06
